title,text
"Information retrieval overview","Information retrieval is the discipline concerned with finding material of an unstructured nature, usually text, that satisfies an information need from within large collections. It underlies web search engines, digital libraries, and enterprise search tools. A retrieval system typically indexes a document collection in advance, then accepts a query at run time and returns a ranked list of documents estimated to be relevant, balancing precision against recall."
"Web crawling basics","A web crawler is a program that systematically browses the web by starting from a set of seed pages, downloading each one, and following the hyperlinks it contains to discover further pages. Crawlers must respect politeness rules such as per-host delays and robots.txt directives, avoid re-fetching pages already seen, and decide how deep or how broad to explore given a limited time or page budget."
"Inverted index structure","An inverted index maps each distinct term appearing in a document collection to the list of documents that contain it, often together with term positions and frequencies. This structure allows a search engine to answer a query by intersecting or merging the posting lists of the query terms rather than scanning every document, which is what makes large scale full text search practically fast."
"TF-IDF term weighting","Term frequency inverse document frequency, or TF-IDF, is a numerical statistic that reflects how important a word is to a document within a collection. It grows with the number of times a term appears in a document but is offset by how common the term is across the whole collection, so frequent but uninformative words like articles and prepositions receive a low weight compared with distinctive, topic bearing words."
"Text preprocessing pipeline","Before a document can be indexed or vectorised it usually passes through a preprocessing pipeline: lowercasing, stripping markup and punctuation, tokenising into words, removing stopwords that carry little topical meaning, and optionally stemming or lemmatising each token to its root form. The choices made at this stage have a large effect on vocabulary size and on the quality of downstream statistics and models."
"Ranking and PageRank","Search engines rank results by combining textual relevance signals with query independent quality signals. PageRank is one well known quality signal: it models a random surfer following links between pages and assigns each page a score based on how often the surfer would land there, so pages linked to by many other important pages accumulate a higher score even before any particular query is considered."
"Document classification","Document classification assigns each document in a collection to one or more predefined categories based on its content. A common supervised approach represents each document as a TF-IDF weighted feature vector and trains a classifier such as logistic regression, naive Bayes, or a support vector machine on a labelled training set, then evaluates accuracy and F1 score on a held out test split."
"Natural language processing basics","Natural language processing is the field that studies how computers can process and analyse human language. Core tasks include tokenisation, part of speech tagging, named entity recognition, parsing, and semantic analysis. Many modern natural language processing systems build on statistical or neural models trained on large text corpora, but the same foundational preprocessing steps used in classic information retrieval still apply in most pipelines."
"Duplicate detection","Large document collections gathered from multiple sources frequently contain exact or near duplicate documents, for example the same news article syndicated across several sites. Systems commonly detect exact duplicates with a cryptographic hash of the normalised text and near duplicates with techniques such as shingling and minhash, discarding or merging duplicates before indexing so they do not skew term statistics or waste storage."
"Evaluation metrics for search","The quality of a retrieval system is commonly measured with metrics such as precision, the fraction of retrieved documents that are relevant, and recall, the fraction of relevant documents that were retrieved. Rank aware metrics like mean average precision and normalised discounted cumulative gain additionally reward systems that place relevant documents near the top of the ranked list rather than merely retrieving them somewhere in the results."
